Date,Forecasted_Sales,Lower_95%_CI,Upper_95%_CI
2025-12-31,2320.903839673928,-1907.2021846427751,6549.009863990631
2026-01-01,2314.6762253229135,-1927.11458670328,6556.467037349107
2026-01-02,2159.616351207602,-2083.901832199348,6403.134534614552
2026-01-03,2285.5967065307486,-1961.626252250002,6532.819665311499
2026-01-04,2248.1551588622756,-2009.3962692318005,6505.706586956352
2026-01-05,2139.0167090463715,-2120.012257507848,6398.0456756005915
2026-01-06,2246.499567656915,-2016.7615375744945,6509.760672888325
2026-01-07,2191.000188963851,-2079.9937994161032,6461.994177343806
2026-01-08,2118.9395961559976,-2153.446517372472,6391.325709684467
2026-01-09,2205.6361563784085,-2071.175841749917,6482.448154506734
2026-01-10,2141.9658421587897,-2140.639799804038,6424.571484121618
2026-01-11,2098.5268404477674,-2185.4719901567323,6382.525671052267
2026-01-12,2164.5765670288133,-2123.7684549448772,6452.921589002504
2026-01-13,2099.765887998776,-2192.958363328836,6392.490139326388
2026-01-14,2077.37827511725,-2216.7794715764344,6371.5360218109345
2026-01-15,2124.472215872219,-2173.759968825113,6422.704400569551
2026-01-16,2063.177475579371,-2238.417978137077,6364.772929295819
2026-01-17,2055.411674232023,-2247.665629437365,6358.488977901411
2026-01-18,2086.110458667278,-2220.6565411712436,6392.8774585058
2026-01-19,2031.1038838996303,-2278.30209953769,6340.50986733695
2026-01-20,2032.7489060109617,-2278.174731433279,6343.672543455203
2026-01-21,2049.9777200709923,-2264.2025951269898,6364.158035268974
2026-01-22,2002.6058372388256,-2313.697277206947,6318.908951684598
2026-01-23,2009.6275581940113,-2308.2043717069705,6327.4594880949935
2026-01-24,2016.3233120118834,-2304.330512402076,6336.977136425843
2026-01-25,1976.910174737388,-2345.49611046832,6299.316459943096
2026-01-26,1986.3356314930575,-2337.580986591182,6310.252249577297
2026-01-27,1985.218849758869,-2341.112489676018,6311.5501891937565
2026-01-28,1953.4032503159042,-2374.411154721056,6281.217655352864
2026-01-29,1963.1660101224345,-2366.111095932886,6292.443116177755
